card_name,card_race,card_type,card_class,description
Spell Lock,INVALID,HERO_POWER,NEUTRAL,Spell Lock INVALID NEUTRAL HEROPOWER Passive Hero PowerSpells Overload for their cost.
Captain Hannigan,INVALID,HERO,WARRIOR,Captain Hannigan INVALID WARRIOR HERO Guards!GUARDS!!
Raise the Alarm,INVALID,HERO_POWER,NEUTRAL,Raise the Alarm INVALID NEUTRAL HEROPOWER Hero PowerSummon a 1/4Kirin Tor Guard.
Raise the Alarm,INVALID,HERO_POWER,NEUTRAL,Raise the Alarm INVALID NEUTRAL HEROPOWER Hero PowerSummon a 1/4Kirin Tor Guard.
Bribed,INVALID,ENCHANTMENT,INVALID,Bribed INVALID INVALID ENCHANTMENT Deathrattle: Return this to your opponent's hand.
Queen Wagtoggle,INVALID,HERO,ROGUE,Queen Wagtoggle INVALID ROGUE HERO The kobold Queen is ALSO robbing the bank. And your minions.
Bribery,INVALID,HERO_POWER,NEUTRAL,"Bribery INVALID NEUTRAL HEROPOWER Hero PowerSummon a minion from your opponent's deck. When it dies, give it back."
Rival Accomplice,INVALID,MINION,NEUTRAL,"Rival Accomplice INVALID NEUTRAL MINION "
Tracking Coin Played Enchantment,INVALID,ENCHANTMENT,NEUTRAL,"Tracking Coin Played Enchantment INVALID NEUTRAL ENCHANTMENT "
Trade Prince Gallywix,INVALID,HERO,ROGUE,Trade Prince Gallywix INVALID ROGUE HERO The goblin Prince has rigged the market. Against you.
Greed is Good,INVALID,HERO_POWER,NEUTRAL,Greed is Good INVALID NEUTRAL HEROPOWER Passive Hero PowerBuy a copy of the first card your opponent plays each turn for a Coin.
Blast Powder,INVALID,ENCHANTMENT,NEUTRAL,"Blast Powder INVALID NEUTRAL ENCHANTMENT If this minion takes damage, it will be destroyed."
Wire Watcher Player Enchantment,INVALID,ENCHANTMENT,INVALID,"Wire Watcher Player Enchantment INVALID INVALID ENCHANTMENT "
Boommaster Flark,INVALID,HERO,HUNTER,"Boommaster Flark INVALID HUNTER HERO Former Boom protégé, Flark has a blast messingwithminions."
Blast Powder,INVALID,HERO_POWER,NEUTRAL,"Blast Powder INVALID NEUTRAL HEROPOWER Hero PowerCoat a minion in BlastPowder. When it takesdamage, destroy it."
The Wire,INVALID,MINION,NEUTRAL,"The Wire INVALID NEUTRAL MINION While wires are touching, take 5 damage at the start of your turn."
The Other Wire,INVALID,MINION,NEUTRAL,"The Other Wire INVALID NEUTRAL MINION While wires are touching, take 5 damage at the start of your turn."
Payday,INVALID,ENCHANTMENT,NEUTRAL,Payday INVALID NEUTRAL ENCHANTMENT Increased stats.
Madam Goya,INVALID,HERO,ROGUE,"Madam Goya INVALID ROGUE HERO ""Extortion"" is such an ugly word. Goya prefers ""LicensingFees."""
Blackmail,INVALID,HERO_POWER,NEUTRAL,Blackmail INVALID NEUTRAL HEROPOWER Hero PowerReplace a random card inyour opponent's handwith an 'Extortion.'
Blackmail,INVALID,HERO_POWER,NEUTRAL,Blackmail INVALID NEUTRAL HEROPOWER Hero PowerReplace a random card inyour opponent's handwith an 'Extortion.'
Lotus Bruiser,INVALID,MINION,NEUTRAL,"Lotus Bruiser INVALID NEUTRAL MINION Whenever an 'Extortion' is played, gain +2/+2."
Fruit Slasher,INVALID,MINION,NEUTRAL,Fruit Slasher INVALID NEUTRAL MINION Battlecry: Deal 4 damage to an enemy. Combo: And 1 damage to all other enemies.
Extortion,INVALID,SPELL,NEUTRAL,Extortion INVALID NEUTRAL SPELL Return your '{0}' to your hand.
Archmage Khadgar,INVALID,HERO,MAGE,Archmage Khadgar INVALID MAGE HERO Ingenuous. Inscrutable. Indefatigable. In...your...way.
Summon Elemental,INVALID,HERO_POWER,NEUTRAL,Summon Elemental INVALID NEUTRAL HEROPOWER Hero PowerSummon a 2/3 Elemental.It copies your spells.
Summon Elemental,INVALID,HERO_POWER,NEUTRAL,Summon Elemental INVALID NEUTRAL HEROPOWER Hero PowerSummon a 2/3 Elemental.It copies your spells.
Sael'orn,INVALID,HERO,WARLOCK,Sael'orn INVALID WARLOCK HERO Traps prey like a spider... toys withthemlikeademon.
Web Grab,INVALID,HERO_POWER,NEUTRAL,Web Grab INVALID NEUTRAL HEROPOWER Hero PowerYour opponent summons a minion from their hand.
Phase Spider,INVALID,MINION,NEUTRAL,Phase Spider INVALID NEUTRAL MINION Immune. Can't Attack while a minion is opposite of this.
Darkened,INVALID,ENCHANTMENT,NEUTRAL,Darkened INVALID NEUTRAL ENCHANTMENT -2 Attack until next turn
Darkened,INVALID,ENCHANTMENT,NEUTRAL,Darkened INVALID NEUTRAL ENCHANTMENT -1 Attack
Haro Setting-Sun,INVALID,HERO,PRIEST,"Haro Setting-Sun INVALID PRIEST HERO With one hoof in the shadows, weakness is his strength."
Darken,INVALID,HERO_POWER,NEUTRAL,Darken INVALID NEUTRAL HEROPOWER Hero PowerGive all minions -2Attack until your next turn.
Darken,INVALID,HERO_POWER,NEUTRAL,Darken INVALID NEUTRAL HEROPOWER Passive Hero PowerYour opponent's minions have -1 Attack.
Dagg Cruelmight,INVALID,HERO,WARRIOR,Dagg Cruelmight INVALID WARRIOR HERO You never kick a man when he's down.Unlessyou'reDagg.
Bully,INVALID,HERO_POWER,NEUTRAL,Bully INVALID NEUTRAL HEROPOWER Hero PowerDeal $2 damage to a damaged minion. @spelldmg
Bully,INVALID,HERO_POWER,NEUTRAL,Bully INVALID NEUTRAL HEROPOWER Hero PowerDeal $4 damage to a damaged minion. @spelldmg
Capital Gains,INVALID,ENCHANTMENT,NEUTRAL,Capital Gains INVALID NEUTRAL ENCHANTMENT +4/+4.
Banker Biggs,INVALID,HERO,WARRIOR,Banker Biggs INVALID WARRIOR HERO His minions are compound-interesting.
Invest!,INVALID,HERO_POWER,NEUTRAL,Invest! INVALID NEUTRAL HEROPOWER Hero PowerReturn a friendly minion to your hand. Give it +4/+4.
Invest!,INVALID,HERO_POWER,NEUTRAL,"Invest! INVALID NEUTRAL HEROPOWER Hero PowerReturn a friendly minion to your hand, then give it +4/+4 and copy it."
Valdera Highborne,INVALID,HERO,PALADIN,"Valdera Highborne INVALID PALADIN HERO His smile is disarming, but his fancy armor is the real threat."
Impervious,INVALID,HERO_POWER,NEUTRAL,Impervious INVALID NEUTRAL HEROPOWER Passive Hero PowerYour hero can only take up to 3 damage at a time.
Marei Loom,INVALID,HERO,WARLOCK,"Marei Loom INVALID WARLOCK HERO She'll exploit your finances, but she won't financeyourexploits."
Next...,INVALID,HERO_POWER,NEUTRAL,Next... INVALID NEUTRAL HEROPOWER Hero PowerSwap the left-most card ineach player's hand withone in their deck.
Archmage Vargoth,INVALID,HERO,MAGE,"Archmage Vargoth INVALID MAGE HERO Trapped for years in Outland, Vargoth found newsourcesofmagic."
Arcane Runes,INVALID,HERO_POWER,NEUTRAL,Arcane Runes INVALID NEUTRAL HEROPOWER Hero PowerAdd a random Arcane spell to your hand.
Lilayell Suntear,INVALID,HERO,MAGE,Lilayell Suntear INVALID MAGE HERO She makes the instability of the universeworkforher.
Mini Portal,INVALID,HERO_POWER,NEUTRAL,"Mini Portal INVALID NEUTRAL HEROPOWER Passive Hero PowerAfter you cast a spell, summon a random 1-cost minion."
Mega Portal,INVALID,HERO_POWER,NEUTRAL,"Mega Portal INVALID NEUTRAL HEROPOWER Passive Hero PowerAfter you cast a spell, summon a random minion of the same cost."
Archmage Kalec,INVALID,HERO,MAGE,Archmage Kalec INVALID MAGE HERO It's just a matter of time before he's the next Malygos.
Dragonwrath,INVALID,HERO_POWER,NEUTRAL,Dragonwrath INVALID NEUTRAL HEROPOWER Hero PowerGive your HeroSpell Damage +1.(+@ currently)
Dragonwrath,INVALID,HERO_POWER,NEUTRAL,Dragonwrath INVALID NEUTRAL HEROPOWER Hero PowerGive your HeroSpell Damage +1.(+@ currently)
Bombardment Recharge Player Enchantment,INVALID,ENCHANTMENT,INVALID,Bombardment Recharge Player Enchantment INVALID INVALID ENCHANTMENT Disables Hero Power while reloading.
Sky Captain Smiggs,INVALID,HERO,HUNTER,Sky Captain Smiggs INVALID HUNTER HERO The only thing bigger than his moustache is his broadside.
Bombardment,INVALID,HERO_POWER,NEUTRAL,Bombardment INVALID NEUTRAL HEROPOWER Hero PowerDeal $2 damage to all minions. Takes 2 turns to reload. @spelldmg
Bombardment,INVALID,HERO_POWER,NEUTRAL,Bombardment INVALID NEUTRAL HEROPOWER Hero PowerDeal $3 damage to all enemy minions. Takes 2 turns to reload. @spelldmg
Anarii Duskgrove,INVALID,HERO,DRUID,"Anarii Duskgrove INVALID DRUID HERO This druid speaks for the trees, and they have nothingnicetosay."
Summon Protectors,INVALID,HERO_POWER,NEUTRAL,Summon Protectors INVALID NEUTRAL HEROPOWER Hero PowerSummon a 2/2 Treant with Taunt.
Summon Protectors,INVALID,HERO_POWER,NEUTRAL,Summon Protectors INVALID NEUTRAL HEROPOWER Hero PowerSummon two 2/2 Treants with Taunt.
Kazamon Steelskin,INVALID,HERO,WARLOCK,Kazamon Steelskin INVALID WARLOCK HERO To say he's reckless is an understatement. Zerorecksaregiven.
Steelskin,INVALID,HERO_POWER,NEUTRAL,Steelskin INVALID NEUTRAL HEROPOWER Passive Hero PowerYou can't damage yourself.
Earthmother's Rancor,INVALID,ENCHANTMENT,NEUTRAL,Earthmother's Rancor INVALID NEUTRAL ENCHANTMENT Windfury
Earthmother's Rancor,INVALID,ENCHANTMENT,NEUTRAL,Earthmother's Rancor INVALID NEUTRAL ENCHANTMENT Mega-Windfury
Hesutu Stonewind,INVALID,HERO,SHAMAN,Hesutu Stonewind INVALID SHAMAN HERO This shaman has a way of whipping his minions into a frenzy.
Earthmother's Rage,INVALID,HERO_POWER,NEUTRAL,Earthmother's Rage INVALID NEUTRAL HEROPOWER Hero PowerGive a friendly minion Windfury.
Earthmother's Rage,INVALID,HERO_POWER,NEUTRAL,Earthmother's Rage INVALID NEUTRAL HEROPOWER Hero PowerGive a friendly minion Mega-Windfury.
Kara Stamper,INVALID,HERO,WARLOCK,"Kara Stamper INVALID WARLOCK HERO She would sell a soul for more minions. Not hers, of course."
Soul Weave,INVALID,HERO_POWER,NEUTRAL,Soul Weave INVALID NEUTRAL HEROPOWER Hero PowerDiscard a card. Summon a random minion of the same cost.
Soul Weave,INVALID,HERO_POWER,NEUTRAL,Soul Weave INVALID NEUTRAL HEROPOWER Hero PowerDiscard a card. Summon a random minion of the same cost.
Bear Liver Quest,INVALID,ENCHANTMENT,NEUTRAL,"Bear Liver Quest INVALID NEUTRAL ENCHANTMENT "
Murloc Quest,INVALID,ENCHANTMENT,NEUTRAL,"Murloc Quest INVALID NEUTRAL ENCHANTMENT "
Turtle Escort Quest,INVALID,ENCHANTMENT,NEUTRAL,"Turtle Escort Quest INVALID NEUTRAL ENCHANTMENT "
Herbalist Quest,INVALID,ENCHANTMENT,NEUTRAL,"Herbalist Quest INVALID NEUTRAL ENCHANTMENT "
Hogger Quest,INVALID,ENCHANTMENT,NEUTRAL,"Hogger Quest INVALID NEUTRAL ENCHANTMENT "
Commander Bolan,INVALID,HERO,PALADIN,"Commander Bolan INVALID PALADIN HERO Be careful, he's got an enormous exclamation pointoverhishead."
A Quest!,INVALID,HERO_POWER,NEUTRAL,A Quest! INVALID NEUTRAL HEROPOWER Hero PowerGive your opponent a Quest!
Bartendotron,INVALID,HERO,PALADIN,Bartendotron INVALID PALADIN HERO Sometimes you want to go where everybody knows your deck.
Bartender Bob,INVALID,HERO,PALADIN,Bartender Bob INVALID PALADIN HERO Sometimes you want to go where everybody knows your deck.
Mr. Chu,INVALID,HERO,WARRIOR,"Mr. Chu INVALID WARRIOR HERO "
Swarm,INVALID,SPELL,DRUID,"Swarm INVALID DRUID SPELL "
Recovery,INVALID,SPELL,DRUID,"Recovery INVALID DRUID SPELL "
"Choices, Choices",INVALID,SPELL,DRUID,"Choices, Choices INVALID DRUID SPELL "
All Bark,INVALID,SPELL,DRUID,"All Bark INVALID DRUID SPELL "
Nature's Wrath,INVALID,SPELL,DRUID,"Nature's Wrath INVALID DRUID SPELL "
Feral Bite,INVALID,SPELL,DRUID,"Feral Bite INVALID DRUID SPELL "
Nurture and Grow,INVALID,SPELL,DRUID,"Nurture and Grow INVALID DRUID SPELL "
Roar!,INVALID,SPELL,DRUID,"Roar! INVALID DRUID SPELL "
Protectors,INVALID,SPELL,DRUID,"Protectors INVALID DRUID SPELL "
Beasts and Buffs,INVALID,SPELL,DRUID,"Beasts and Buffs INVALID DRUID SPELL "
Big Friends,INVALID,SPELL,DRUID,"Big Friends INVALID DRUID SPELL "
Legends,INVALID,SPELL,DRUID,"Legends INVALID DRUID SPELL "
Lifebloom,INVALID,HERO_POWER,DRUID,Lifebloom INVALID DRUID HEROPOWER Hero PowerRestore a minion to full Health.
Touch of Bark,INVALID,HERO_POWER,DRUID,Touch of Bark INVALID DRUID HEROPOWER Hero PowerGive a minion +1/+1.
Barky,INVALID,ENCHANTMENT,NEUTRAL,Barky INVALID NEUTRAL ENCHANTMENT +1/+1.
Druid Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Druid Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Captain Eudora,INVALID,HERO,ROGUE,"Captain Eudora INVALID ROGUE HERO "
George the Fallen,INVALID,HERO,PALADIN,"George the Fallen INVALID PALADIN HERO "
Spells,INVALID,SPELL,HUNTER,"Spells INVALID HUNTER SPELL "
Secretive,INVALID,SPELL,HUNTER,"Secretive INVALID HUNTER SPELL "
Deathrattle,INVALID,SPELL,HUNTER,"Deathrattle INVALID HUNTER SPELL "
Technological,INVALID,SPELL,HUNTER,"Technological INVALID HUNTER SPELL "
Big Beasts,INVALID,SPELL,HUNTER,"Big Beasts INVALID HUNTER SPELL "
Tiny Trouble,INVALID,SPELL,HUNTER,"Tiny Trouble INVALID HUNTER SPELL "
Empowering,INVALID,SPELL,HUNTER,"Empowering INVALID HUNTER SPELL "
Aggression,INVALID,SPELL,HUNTER,"Aggression INVALID HUNTER SPELL "
Overwhelm,INVALID,SPELL,HUNTER,"Overwhelm INVALID HUNTER SPELL "
Professional,INVALID,SPELL,HUNTER,"Professional INVALID HUNTER SPELL "
Battlecry,INVALID,SPELL,HUNTER,"Battlecry INVALID HUNTER SPELL "
Legends,INVALID,SPELL,HUNTER,"Legends INVALID HUNTER SPELL "
Opportunist,INVALID,HERO_POWER,HUNTER,Opportunist INVALID HUNTER HEROPOWER Hero PowerGive a minion +2Attack this turn.
Opportunist,INVALID,ENCHANTMENT,NEUTRAL,Opportunist INVALID NEUTRAL ENCHANTMENT +2 Attack this turn.
Pet Training,INVALID,HERO_POWER,HUNTER,Pet Training INVALID HUNTER HEROPOWER Hero PowerAdd a 1/1 Shifting Chameleon to your hand.
Shifting,INVALID,ENCHANTMENT,NEUTRAL,Shifting INVALID NEUTRAL ENCHANTMENT Transforming into a random 1-cost minion.
Shifting Chameleon,BEAST,MINION,HUNTER,"Shifting Chameleon BEAST HUNTER MINION Each turn this is in yourhand, transform into arandom 1-cost minion."
Hunter Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Hunter Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Kriziki,INVALID,HERO,PRIEST,"Kriziki INVALID PRIEST HERO "
Multi-Cast,INVALID,SPELL,MAGE,"Multi-Cast INVALID MAGE SPELL "
Coldsnap,INVALID,SPELL,MAGE,"Coldsnap INVALID MAGE SPELL "
Summoning,INVALID,SPELL,MAGE,"Summoning INVALID MAGE SPELL "
Powered Up,INVALID,SPELL,MAGE,"Powered Up INVALID MAGE SPELL "
Go Big,INVALID,SPELL,MAGE,"Go Big INVALID MAGE SPELL "
BURN!,INVALID,SPELL,MAGE,"BURN! INVALID MAGE SPELL "
Elements,INVALID,SPELL,MAGE,"Elements INVALID MAGE SPELL "
Technology,INVALID,SPELL,MAGE,"Technology INVALID MAGE SPELL "
Fate's Hand,INVALID,SPELL,MAGE,"Fate's Hand INVALID MAGE SPELL "
Trade Secrets,INVALID,SPELL,MAGE,"Trade Secrets INVALID MAGE SPELL "
Inspired,INVALID,SPELL,MAGE,"Inspired INVALID MAGE SPELL "
Legends,INVALID,SPELL,MAGE,"Legends INVALID MAGE SPELL "
Burning Wit,INVALID,HERO_POWER,MAGE,Burning Wit INVALID MAGE HEROPOWER Hero PowerReduce the cost of arandom card in yourhand by (2).
Witty,INVALID,ENCHANTMENT,NEUTRAL,Witty INVALID NEUTRAL ENCHANTMENT Costs (2) less.
Frostburn,INVALID,HERO_POWER,MAGE,"Frostburn INVALID MAGE HEROPOWER Hero PowerFreeze a character.If it's already Frozen, deal $2 damage. @spelldmg"
Mage Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Mage Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Secret Whispers,INVALID,SPELL,PALADIN,"Secret Whispers INVALID PALADIN SPELL "
Small Army,INVALID,SPELL,PALADIN,"Small Army INVALID PALADIN SPELL "
Dragons,INVALID,SPELL,PALADIN,"Dragons INVALID PALADIN SPELL "
Holy Infusions,INVALID,SPELL,PALADIN,"Holy Infusions INVALID PALADIN SPELL "
Healing Hands,INVALID,SPELL,PALADIN,"Healing Hands INVALID PALADIN SPELL "
Handbuff,INVALID,SPELL,PALADIN,"Handbuff INVALID PALADIN SPELL "
Murglgglgl,INVALID,SPELL,PALADIN,"Murglgglgl INVALID PALADIN SPELL "
Robotic,INVALID,SPELL,PALADIN,"Robotic INVALID PALADIN SPELL "
The Silver Hand,INVALID,SPELL,PALADIN,"The Silver Hand INVALID PALADIN SPELL "
Protectors,INVALID,SPELL,PALADIN,"Protectors INVALID PALADIN SPELL "
Judgment,INVALID,SPELL,PALADIN,"Judgment INVALID PALADIN SPELL "
Legends,INVALID,SPELL,PALADIN,"Legends INVALID PALADIN SPELL "
Backup,INVALID,HERO_POWER,PALADIN,Backup INVALID PALADIN HEROPOWER Hero PowerAdd three 1/1 Silver Hand Recruits to your hand.
Boon of Light,INVALID,HERO_POWER,PALADIN,Boon of Light INVALID PALADIN HEROPOWER Hero PowerGive a friendly minion Divine Shield.
Paladin Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Paladin Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Curatives,INVALID,SPELL,PRIEST,"Curatives INVALID PRIEST SPELL "
Afterlife,INVALID,SPELL,PRIEST,"Afterlife INVALID PRIEST SPELL "
From the Graves,INVALID,SPELL,PRIEST,"From the Graves INVALID PRIEST SPELL "
Shadows,INVALID,SPELL,PRIEST,"Shadows INVALID PRIEST SPELL "
What's Mind is Mine,INVALID,SPELL,PRIEST,"What's Mind is Mine INVALID PRIEST SPELL "
Old God,INVALID,SPELL,PRIEST,"Old God INVALID PRIEST SPELL "
Pint-Sized,INVALID,SPELL,PRIEST,"Pint-Sized INVALID PRIEST SPELL "
Dragonfire,INVALID,SPELL,PRIEST,"Dragonfire INVALID PRIEST SPELL "
Twisted,INVALID,SPELL,PRIEST,"Twisted INVALID PRIEST SPELL "
Strength Within,INVALID,SPELL,PRIEST,"Strength Within INVALID PRIEST SPELL "
Miracles,INVALID,SPELL,PRIEST,"Miracles INVALID PRIEST SPELL "
Legends,INVALID,SPELL,PRIEST,"Legends INVALID PRIEST SPELL "
Distort,INVALID,HERO_POWER,PRIEST,Distort INVALID PRIEST HEROPOWER Hero PowerSwap a minion's Attack and Health.
Distorted,INVALID,ENCHANTMENT,NEUTRAL,Distorted INVALID NEUTRAL ENCHANTMENT Attack and Health have been swapped by Distort.
Soothe,INVALID,HERO_POWER,PRIEST,Soothe INVALID PRIEST HEROPOWER Hero PowerGive a minion -2Attack until your next turn.
Soothed,INVALID,ENCHANTMENT,NEUTRAL,Soothed INVALID NEUTRAL ENCHANTMENT -2 Attack until your next turn.
Priest Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Priest Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Rakanishu,INVALID,HERO,MAGE,"Rakanishu INVALID MAGE HERO "
Combo,INVALID,SPELL,ROGUE,"Combo INVALID ROGUE SPELL "
Thief,INVALID,SPELL,ROGUE,"Thief INVALID ROGUE SPELL "
Trickery,INVALID,SPELL,ROGUE,"Trickery INVALID ROGUE SPELL "
Kingslayer,INVALID,SPELL,ROGUE,"Kingslayer INVALID ROGUE SPELL "
Deathrattle,INVALID,SPELL,ROGUE,"Deathrattle INVALID ROGUE SPELL "
Cogs and Gears,INVALID,SPELL,ROGUE,"Cogs and Gears INVALID ROGUE SPELL "
Scallywags,INVALID,SPELL,ROGUE,"Scallywags INVALID ROGUE SPELL "
Cutthroat,INVALID,SPELL,ROGUE,"Cutthroat INVALID ROGUE SPELL "
Draw!,INVALID,SPELL,ROGUE,"Draw! INVALID ROGUE SPELL "
Battlecry,INVALID,SPELL,ROGUE,"Battlecry INVALID ROGUE SPELL "
Spellslinger,INVALID,SPELL,ROGUE,"Spellslinger INVALID ROGUE SPELL "
Legends,INVALID,SPELL,ROGUE,"Legends INVALID ROGUE SPELL "
Yoink!,INVALID,HERO_POWER,ROGUE,Yoink! INVALID ROGUE HEROPOWER Hero PowerAdd a randomcard to your hand(from another class).
Cut-less,INVALID,HERO_POWER,ROGUE,Cut-less INVALID ROGUE HEROPOWER Hero PowerDeal $2 damage to an undamaged minion. @spelldmg
Rogue Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Rogue Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Flood,INVALID,SPELL,SHAMAN,"Flood INVALID SHAMAN SPELL "
Spirits,INVALID,SPELL,SHAMAN,"Spirits INVALID SHAMAN SPELL "
Fishy,INVALID,SPELL,SHAMAN,"Fishy INVALID SHAMAN SPELL "
Overload,INVALID,SPELL,SHAMAN,"Overload INVALID SHAMAN SPELL "
Big Shaman,INVALID,SPELL,SHAMAN,"Big Shaman INVALID SHAMAN SPELL "
Elemental Wrath,INVALID,SPELL,SHAMAN,"Elemental Wrath INVALID SHAMAN SPELL "
Battlecry,INVALID,SPELL,SHAMAN,"Battlecry INVALID SHAMAN SPELL "
Sssspells,INVALID,SPELL,SHAMAN,"Sssspells INVALID SHAMAN SPELL "
Carvings,INVALID,SPELL,SHAMAN,"Carvings INVALID SHAMAN SPELL "
Regeneration,INVALID,SPELL,SHAMAN,"Regeneration INVALID SHAMAN SPELL "
Shifting Scales,INVALID,SPELL,SHAMAN,"Shifting Scales INVALID SHAMAN SPELL "
Legends,INVALID,SPELL,SHAMAN,"Legends INVALID SHAMAN SPELL "
Evolution,INVALID,HERO_POWER,SHAMAN,Evolution INVALID SHAMAN HEROPOWER Hero PowerTransform a friendly minion into one that costs (1) more.
Refresh,INVALID,HERO_POWER,SHAMAN,Refresh INVALID SHAMAN HEROPOWER Hero PowerDraw a card.Overload: (1).
Shaman Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Shaman Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Squeamlish,INVALID,HERO,DRUID,"Squeamlish INVALID DRUID HERO "
Tekahn,INVALID,HERO,WARLOCK,"Tekahn INVALID WARLOCK HERO "
Vessina,INVALID,HERO,SHAMAN,"Vessina INVALID SHAMAN HERO "
Big Demons,INVALID,SPELL,WARLOCK,"Big Demons INVALID WARLOCK SPELL "
Swarming,INVALID,SPELL,WARLOCK,"Swarming INVALID WARLOCK SPELL "
Draw,INVALID,SPELL,WARLOCK,"Draw INVALID WARLOCK SPELL "
Sacrifice,INVALID,SPELL,WARLOCK,"Sacrifice INVALID WARLOCK SPELL "
Pain,INVALID,SPELL,WARLOCK,"Pain INVALID WARLOCK SPELL "
Discard,INVALID,SPELL,WARLOCK,"Discard INVALID WARLOCK SPELL "
In Control,INVALID,SPELL,WARLOCK,"In Control INVALID WARLOCK SPELL "
Destruction,INVALID,SPELL,WARLOCK,"Destruction INVALID WARLOCK SPELL "
Lil' Demons,INVALID,SPELL,WARLOCK,"Lil' Demons INVALID WARLOCK SPELL "
Empowering,INVALID,SPELL,WARLOCK,"Empowering INVALID WARLOCK SPELL "
Curatives,INVALID,SPELL,WARLOCK,"Curatives INVALID WARLOCK SPELL "
Legend,INVALID,SPELL,WARLOCK,"Legend INVALID WARLOCK SPELL "
Pain Split,INVALID,HERO_POWER,WARLOCK,Pain Split INVALID WARLOCK HEROPOWER Hero PowerTake $2 damage.Deal $2 damage. @spelldmg
The Pact,INVALID,HERO_POWER,WARLOCK,The Pact INVALID WARLOCK HEROPOWER Hero PowerTake $2 damage.Summon a 2/2 Imp. @spelldmg
Devious Imp,DEMON,MINION,WARLOCK,"Devious Imp DEMON WARLOCK MINION "
Warlock Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Warlock Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Mercenaries,INVALID,SPELL,WARRIOR,"Mercenaries INVALID WARRIOR SPELL "
Damaged,INVALID,SPELL,WARRIOR,"Damaged INVALID WARRIOR SPELL "
Big Minions,INVALID,SPELL,WARRIOR,"Big Minions INVALID WARRIOR SPELL "
Bombs Away!,INVALID,SPELL,WARRIOR,"Bombs Away! INVALID WARRIOR SPELL "
Rush,INVALID,SPELL,WARRIOR,"Rush INVALID WARRIOR SPELL "
Iron and Steel,INVALID,SPELL,WARRIOR,"Iron and Steel INVALID WARRIOR SPELL "
Dragon,INVALID,SPELL,WARRIOR,"Dragon INVALID WARRIOR SPELL "
Armored Up,INVALID,SPELL,WARRIOR,"Armored Up INVALID WARRIOR SPELL "
Arsenal,INVALID,SPELL,WARRIOR,"Arsenal INVALID WARRIOR SPELL "
All Might,INVALID,SPELL,WARRIOR,"All Might INVALID WARRIOR SPELL "
Taunt,INVALID,SPELL,WARRIOR,"Taunt INVALID WARRIOR SPELL "
Legends,INVALID,SPELL,WARRIOR,"Legends INVALID WARRIOR SPELL "
Invigorating Brew,INVALID,HERO_POWER,WARRIOR,Invigorating Brew INVALID WARRIOR HEROPOWER Hero PowerDeal $1 damage toa minion and giveit +2Attack. @spelldmg
Invigorated,INVALID,ENCHANTMENT,NEUTRAL,Invigorated INVALID NEUTRAL ENCHANTMENT +2 Attack.
Undermine,INVALID,HERO_POWER,WARRIOR,Undermine INVALID WARRIOR HEROPOWER Hero PowerShuffle two Explosivesinto your opponent'sdeck.
Improvised Explosive,INVALID,SPELL,NEUTRAL,Improvised Explosive INVALID NEUTRAL SPELL Casts When DrawnTake 3 damage.
Warrior Hero Power Watcher,INVALID,ENCHANTMENT,NEUTRAL,"Warrior Hero Power Watcher INVALID NEUTRAL ENCHANTMENT "
Fast Spawn to Deck Dummy FX,INVALID,SPELL,NEUTRAL,Fast Spawn to Deck Dummy FX INVALID NEUTRAL SPELL Holds the FX for inserting a card into a deck quickly.
Time Warp Dummy FX,INVALID,SPELL,NEUTRAL,Time Warp Dummy FX INVALID NEUTRAL SPELL Holds the FX for playing Timewarp FX.
Frost Nova Dummy FX,INVALID,SPELL,NEUTRAL,Frost Nova Dummy FX INVALID NEUTRAL SPELL Holds the FX for playing Frost Nova FX.
Holy Healing Dummy FX,INVALID,SPELL,NEUTRAL,Holy Healing Dummy FX INVALID NEUTRAL SPELL Holds the FX for playing Holy Healing FX.
Flamestrike Dummy FX,INVALID,SPELL,NEUTRAL,Flamestrike Dummy FX INVALID NEUTRAL SPELL Holds the FX for playing Flamestrike FX.
Laughing Sister,INVALID,MINION,DREAM,Laughing Sister INVALID DREAM MINION Can't be targeted by spells or Hero Powers.
Ysera Awakens,INVALID,SPELL,DREAM,Ysera Awakens INVALID DREAM SPELL Deal $5 damage to all characters except Ysera. @spelldmg
Emerald Drake,DRAGON,MINION,DREAM,"Emerald Drake DRAGON DREAM MINION "
Dream,INVALID,SPELL,DREAM,Dream INVALID DREAM SPELL Return a minion to its owner's hand.
